,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",792000,0.03595,200.0,11,-1419.839082,-1509.075914,-1183.061898,88.442826
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",794200,0.035816,200.0,11,-1443.678894,-1517.803187,-1334.832706,58.306096
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",796400,0.039781,200.0,11,-1476.339133,-1521.248836,-1375.284941,47.581894
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",798600,0.035463,200.0,11,-1441.157,-1521.914663,-1279.33788,71.610993
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",800800,0.040175,200.0,11,-1453.358949,-1502.327467,-1389.662634,35.838545
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",803000,0.038174,200.0,11,-1447.198069,-1502.828316,-1365.934524,49.773163
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",805200,0.037934,200.0,11,-1496.112318,-1532.575447,-1360.926945,51.356626
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",807400,0.036345,200.0,11,-1441.823563,-1526.081196,-1328.510751,70.517064
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",809600,0.036476,200.0,11,-1445.070631,-1537.53486,-1321.229488,66.290325
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",811800,0.038805,200.0,11,-1472.586888,-1522.30436,-1338.523621,53.465811
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",814000,0.039502,200.0,11,-1460.76504,-1518.595161,-1347.099239,48.444083
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",816200,0.036882,200.0,11,-1438.572428,-1520.642319,-1320.813096,63.347447
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",818400,0.036667,200.0,11,-1445.508763,-1517.429447,-1316.919709,70.645676
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",820600,0.036186,200.0,11,-1439.370707,-1521.601945,-1365.606367,53.265047
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",822800,0.037665,200.0,11,-1423.534063,-1544.396673,-1139.178671,120.147944
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",825000,0.037551,200.0,11,-1422.428168,-1517.221478,-1315.297724,75.957264
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",827200,0.041086,200.0,11,-1449.219466,-1525.798555,-1285.930252,74.357701
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",829400,0.036689,200.0,11,-1432.527317,-1526.082334,-1301.675967,69.910776
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",831600,0.036023,200.0,11,-1388.619816,-1502.543905,-1203.986841,96.952824
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",833800,0.03755,200.0,11,-1454.312501,-1516.561803,-1393.262282,43.32545
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",836000,0.038108,200.0,11,-1486.651624,-1528.494608,-1381.165913,50.043207
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",838200,0.036756,200.0,11,-1448.832001,-1526.674511,-1281.589019,74.121106
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",840400,0.037066,200.0,11,-1468.720767,-1529.285345,-1386.561764,47.879087
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",842600,0.036085,200.0,11,-1373.043635,-1472.904531,-1179.239982,97.219845
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",844800,0.035928,200.0,11,-1457.958394,-1531.041663,-1288.363337,68.342789
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",847000,0.038682,200.0,11,-1479.467811,-1519.154218,-1316.775586,58.644811
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",849200,0.035297,200.0,11,-1476.301882,-1521.9025,-1418.160491,39.096776
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",851400,0.035182,200.0,11,-1480.778695,-1518.948622,-1385.512051,42.945179
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",853600,0.035178,200.0,11,-1461.507451,-1508.900088,-1375.645905,49.049745
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",855800,0.035192,200.0,11,-1428.872511,-1506.886054,-1288.177536,63.565879
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",858000,0.038244,200.0,11,-1472.074469,-1522.321796,-1386.558993,43.804053
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",860200,0.035356,200.0,11,-1477.739164,-1520.188454,-1368.968531,50.44358
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",862400,0.035072,200.0,11,-1450.036187,-1521.21423,-1275.44559,84.625212
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",864600,0.035265,200.0,11,-1456.624691,-1523.141325,-1335.592349,57.801251
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",866800,0.03504,200.0,11,-1470.210229,-1536.574597,-1394.235627,49.520771
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",869000,0.037828,200.0,11,-1468.229247,-1517.196685,-1408.942921,40.817259
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",871200,0.03637,200.0,11,-1476.608994,-1520.905395,-1362.990741,47.447394
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",873400,0.039682,200.0,11,-1458.571081,-1517.889262,-1269.865649,72.720126
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",875600,0.035195,200.0,11,-1444.36923,-1512.347867,-1317.924681,65.463083
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",877800,0.034969,200.0,11,-1429.365237,-1510.628658,-1244.435397,74.205872
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",880000,0.037229,200.0,11,-1440.104007,-1519.376901,-1331.104853,62.083374
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",882200,0.036952,200.0,11,-1487.092911,-1519.961374,-1391.727424,36.44655
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",884400,0.035251,200.0,11,-1458.742651,-1503.245873,-1400.419377,39.876506
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",886600,0.035215,200.0,11,-1450.681017,-1521.311728,-1342.222558,51.977217
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",888800,0.035362,200.0,11,-1453.424214,-1520.593719,-1310.738852,61.441126
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",891000,0.035936,200.0,11,-1453.454241,-1523.606075,-1330.37552,53.053084
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",893200,0.038467,200.0,11,-1450.494428,-1498.078743,-1343.405437,46.895893
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",895400,0.03508,200.0,11,-1489.053378,-1527.464913,-1385.44378,43.019449
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",897600,0.035566,200.0,11,-1475.077067,-1530.353767,-1377.813052,39.040238
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",899800,0.035057,200.0,11,-1422.177823,-1519.077344,-1095.263118,114.370785
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",902000,0.035247,200.0,11,-1416.466109,-1518.183789,-1303.772443,84.187923
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",904200,0.038131,200.0,11,-1411.083411,-1513.147752,-1303.258948,60.955779
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",906400,0.035696,200.0,11,-1438.272621,-1521.278437,-1183.395157,97.444514
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",908600,0.035298,200.0,11,-1462.072411,-1515.864927,-1323.111995,56.41112
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",910800,0.035301,200.0,11,-1453.756496,-1526.032374,-1257.674829,80.535168
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",913000,0.035158,200.0,11,-1469.73791,-1529.850615,-1319.874709,62.248888
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",915200,0.03772,200.0,11,-1434.6368,-1521.812021,-1060.967225,128.414786
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",917400,0.036712,200.0,11,-1439.477995,-1526.434309,-1314.432753,82.498724
