,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,eval episodes,experiment name,total trainingsteps,total episodes
0,0.039582,200.0,-222.32503,-516.915831,-2.339631,188.745049,11,exp_name: Pendulum-v1_2023-01-30 (TEST),79,176000
0,0.043343,200.0,-328.236639,-535.943663,-126.073005,159.912301,11,exp_name: Pendulum-v1_2023-01-30 (TEST),80,178200
0,0.041655,200.0,-297.188745,-655.980097,-3.183047,197.929144,11,exp_name: Pendulum-v1_2023-01-30 (TEST),81,180400
0,0.040477,200.0,-237.441983,-779.39731,-3.216192,206.540015,11,exp_name: Pendulum-v1_2023-01-30 (TEST),82,182600
0,0.040504,200.0,-197.979125,-518.747968,-1.92756,174.905038,11,exp_name: Pendulum-v1_2023-01-30 (TEST),83,184800
0,0.041104,200.0,-254.790156,-420.698566,-2.303516,155.06879,11,exp_name: Pendulum-v1_2023-01-30 (TEST),84,187000
0,0.040696,200.0,-264.384527,-499.622039,-1.705175,160.397527,11,exp_name: Pendulum-v1_2023-01-30 (TEST),85,189200
0,0.039734,200.0,-206.065159,-501.662586,-0.850404,152.186197,11,exp_name: Pendulum-v1_2023-01-30 (TEST),86,191400
0,0.040131,200.0,-204.375639,-502.512212,-1.437716,144.605038,11,exp_name: Pendulum-v1_2023-01-30 (TEST),87,193600
0,0.042389,200.0,-158.685525,-258.638805,-2.618341,91.758652,11,exp_name: Pendulum-v1_2023-01-30 (TEST),88,195800
0,0.037397,200.0,-233.507588,-568.833803,-3.507904,150.922169,11,exp_name: Pendulum-v1_2023-01-30 (TEST),89,198000
0,0.039734,200.0,-269.857538,-558.848391,-120.190929,116.591657,11,exp_name: Pendulum-v1_2023-01-30 (TEST),90,200200
0,0.038137,200.0,-187.808574,-367.661231,-2.153866,118.766289,11,exp_name: Pendulum-v1_2023-01-30 (TEST),91,202400
0,0.040154,200.0,-167.828441,-251.816495,-1.011389,93.095552,11,exp_name: Pendulum-v1_2023-01-30 (TEST),92,204600
0,0.038064,200.0,-174.225788,-520.983795,-1.176991,158.940327,11,exp_name: Pendulum-v1_2023-01-30 (TEST),93,206800
0,0.038153,200.0,-286.571783,-472.277795,-124.046459,121.785895,11,exp_name: Pendulum-v1_2023-01-30 (TEST),94,209000
0,0.038112,200.0,-145.817836,-371.672443,-1.370139,102.241705,11,exp_name: Pendulum-v1_2023-01-30 (TEST),95,211200
0,0.040228,200.0,-227.890333,-885.64453,-0.846185,227.567271,11,exp_name: Pendulum-v1_2023-01-30 (TEST),96,213400
0,0.040113,200.0,-177.636505,-627.101968,-2.090734,189.162855,11,exp_name: Pendulum-v1_2023-01-30 (TEST),97,215600
0,0.039042,200.0,-101.022489,-127.401092,-1.209718,46.91026,11,exp_name: Pendulum-v1_2023-01-30 (TEST),98,217800
0,0.038406,200.0,-269.868467,-514.152379,-123.031898,110.122636,11,exp_name: Pendulum-v1_2023-01-30 (TEST),99,220000
0,0.038956,200.0,-159.919146,-383.538126,-1.184005,119.351165,11,exp_name: Pendulum-v1_2023-01-30 (TEST),100,222200
0,0.039435,200.0,-189.849371,-368.148298,-118.314918,92.625904,11,exp_name: Pendulum-v1_2023-01-30 (TEST),101,224400
0,0.036526,200.0,-278.020422,-533.347708,-117.707771,129.352491,11,exp_name: Pendulum-v1_2023-01-30 (TEST),102,226600
0,0.040503,200.0,-180.997332,-372.417217,-1.179331,121.235948,11,exp_name: Pendulum-v1_2023-01-30 (TEST),103,228800
0,0.038073,200.0,-273.208751,-673.248247,-3.476904,176.45484,11,exp_name: Pendulum-v1_2023-01-30 (TEST),104,231000
0,0.039795,200.0,-201.412501,-480.115132,-117.92337,117.881495,11,exp_name: Pendulum-v1_2023-01-30 (TEST),105,233200
0,0.037396,200.0,-282.760967,-539.322368,-0.800208,152.983813,11,exp_name: Pendulum-v1_2023-01-30 (TEST),106,235400
0,0.038625,200.0,-164.723232,-351.870546,-1.234187,115.958671,11,exp_name: Pendulum-v1_2023-01-30 (TEST),107,237600
0,0.05107,200.0,-182.276601,-511.844264,-0.837754,145.30979,11,exp_name: Pendulum-v1_2023-01-30 (TEST),108,239800
0,0.042681,200.0,-165.814858,-380.974889,-0.819219,138.545829,11,exp_name: Pendulum-v1_2023-01-30 (TEST),109,242000
0,0.040137,200.0,-187.352927,-454.010137,-0.544057,134.337611,11,exp_name: Pendulum-v1_2023-01-30 (TEST),110,244200
0,0.040125,200.0,-183.509383,-524.148248,-1.748238,146.701794,11,exp_name: Pendulum-v1_2023-01-30 (TEST),111,246400
0,0.037378,200.0,-244.762155,-366.358462,-4.485866,112.665632,11,exp_name: Pendulum-v1_2023-01-30 (TEST),112,248600
0,0.03905,200.0,-156.986306,-379.140161,-1.094703,116.360196,11,exp_name: Pendulum-v1_2023-01-30 (TEST),113,250800
