,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,eval episodes,experiment name,total trainingsteps,total episodes
1,0.466452,1024.0,-256.536302,-260.230292,-252.842312,3.69399,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,112.25729584693909,219136
2,0.465508,1024.0,-263.831754,-267.141859,-260.521649,3.310105,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,113.31588006019592,221184
3,0.459921,1024.0,-266.221751,-267.639038,-264.804464,1.417287,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,114.36967992782593,223232
4,0.473001,1024.0,-250.37802,-252.334397,-248.421642,1.956377,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,115.44863295555115,225280
0,0.46474,1024.0,-246.574073,-253.387908,-239.760239,6.813835,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,116.50642418861389,227328
1,0.448961,1024.0,-258.43788,-264.568517,-252.307242,6.130637,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,117.53061103820801,229376
2,0.492273,1024.0,-261.075233,-261.126428,-261.024038,0.051195,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,118.64405298233032,231424
3,0.452999,1024.0,-265.96253,-270.399397,-261.525662,4.436867,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,119.6723301410675,233472
4,0.466647,1024.0,-256.980381,-259.288022,-254.67274,2.307641,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,120.73639512062073,235520
0,0.510229,1024.0,-242.160375,-246.679946,-237.640803,4.519572,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,121.88700819015503,237568
1,0.46801,1024.0,-250.692381,-252.324738,-249.060023,1.632358,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,122.94549608230591,239616
2,0.492762,1024.0,-238.780669,-242.879633,-234.681704,4.098964,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,124.07249689102173,241664
3,0.473759,1024.0,-257.294963,-259.116648,-255.473278,1.821685,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,125.14292693138123,243712
4,0.452336,1024.0,-252.241267,-256.369304,-248.11323,4.128037,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,126.177649974823,245760
0,0.474471,1024.0,-245.509496,-248.154777,-242.864215,2.645281,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,127.25168490409851,247808
1,0.44872,1024.0,-252.652106,-260.443653,-244.860558,7.791547,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,128.27163195610046,249856
2,0.462891,1024.0,-243.022514,-249.897512,-236.147516,6.874998,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,129.3218400478363,251904
3,0.450261,1024.0,-240.695009,-248.755812,-232.634205,8.060803,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,130.34733700752258,253952
4,0.46812,1024.0,-228.164258,-232.471013,-223.857503,4.306755,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,131.42253708839417,256000
0,0.50547,1024.0,-220.886025,-222.897537,-218.874514,2.011511,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,132.5669460296631,258048
1,0.456455,1024.0,-229.028458,-237.490431,-220.566485,8.461973,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,133.60314202308655,260096
2,0.458109,1024.0,-232.550392,-237.505037,-227.595747,4.954645,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,134.64876699447632,262144
3,0.498581,1024.0,-223.987209,-225.811514,-222.162904,1.824305,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,135.77385807037354,264192
4,0.440389,1024.0,-224.941783,-225.81179,-224.071777,0.870006,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,136.78076815605164,266240
