rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/std,train/approx_kl,train/entropy_loss,train/clip_fraction
200.0,-155.30647707000003,3197,671000,209,305,0.0003,1.33484652637371,-0.003875938704503434,3040,0.2171870619058609,0.996369419619441,0.2,0.26351556181907654,0.01749079,-0.08927039418901717,0.09452380958412375
200.0,-156.97283377999997,3208,673200,209,306,0.0003,16.5191950512571,-0.0036890921089798214,3050,0.04683799296617508,0.987705354578793,0.2,0.2635919153690338,0.007823035,-0.0870079105240958,0.0909523809914078
200.0,-160.64797587,3218,675400,209,307,0.0003,1.9474842364660332,0.0002847324897136007,3060,0.5913442373275757,0.9900797344744205,0.2,0.2597796618938446,0.019575298,-0.0774719728742327,0.125744047707745
200.0,-157.45869033,3229,677600,209,308,0.0003,0.8208630823024682,0.00434051131164389,3070,0.3815341293811798,0.9980980468681082,0.2,0.26097050309181213,0.018722367,-0.07205441236495971,0.21638392875237125
200.0,-159.46957928000003,3239,679800,209,309,0.0003,0.9896683498578412,0.005323943472134747,3080,0.041528020054101944,0.9931604922749102,0.2,0.256102055311203,0.022188095,-0.06545237132481166,0.19358630966927323
200.0,-155.51072891,3250,682000,209,310,0.0003,5.735127339001213,-0.0044738302073840585,3090,0.22875149548053741,0.986631884239614,0.2,0.2561548948287964,0.0077246903,-0.055564016614641464,0.07171130958412375
200.0,-159.85564080999998,3260,684200,209,311,0.0003,2.9881341925050533,0.005284013603148716,3100,0.25150904059410095,0.9783786125481129,0.2,0.2580054998397827,0.0074050953,-0.06227921554020473,0.17543154775031974
200.0,-159.56093302999997,3270,686400,209,312,0.0003,1.7862659463286399,0.0030830128717103176,3110,0.149315744638443,0.9975945234764367,0.2,0.25758087635040283,0.0076165507,-0.06272152083260672,0.10523809529840947
200.0,-159.74142233,3281,688600,209,313,0.0003,3.8698014730534385,0.0001157418019803507,3120,1.6249029636383057,0.9851695047691464,0.2,0.2610625624656677,0.019641446,-0.06853664364133562,0.12491071433893272
200.0,-159.24819126000003,3291,690800,209,314,0.0003,0.9161234307927745,0.003982366427247013,3130,0.33549588918685913,0.9969364115968347,0.2,0.2561571002006531,0.01765744,-0.06709357908793859,0.10096726195088454
200.0,-160.13744715,3302,693000,209,315,0.0003,1.1965491045851793,0.0022159427137479985,3140,1.2723075151443481,0.9971841517835855,0.2,0.24885393679141998,0.022277357,-0.042878099169049944,0.20119047640689783
200.0,-161.36584925,3312,695200,209,316,0.0003,0.5975671521787133,0.0012466187389301403,3150,0.15366651117801666,0.996943180449307,0.2,0.2466103434562683,0.015026991,-0.026080423423222133,0.12089285725993769
200.0,-160.56577009,3322,697400,209,317,0.0003,5.915791145903723,-0.0026758521489266838,3160,0.4941691756248474,0.9924742383882403,0.2,0.2485322654247284,0.0105354935,-0.022415855271475656,0.06364583337945598
200.0,-160.52121906,3333,699600,209,318,0.0003,2.928731347460832,0.006578471900096961,3170,1.016511082649231,0.9773529730737209,0.2,0.24990496039390564,0.0046156887,-0.030895567280905586,0.20724702393370015
200.0,-162.02673366000002,3343,701800,209,319,0.0003,2.1327848436364105,0.00030683498297418867,3180,1.0938984155654907,0.9939519637264311,0.2,0.24844437837600708,0.007769222,-0.03142612355095999,0.07988095240933554
200.0,-151.75084011999996,3354,704000,209,320,0.0003,0.5620316008292139,0.004737507911798145,3190,0.24236157536506653,0.9991305618314072,0.2,0.25494110584259033,0.012381625,-0.03901905741010393,0.1668154762791736
200.0,-155.94547429000005,3364,706200,209,321,0.0003,1.25584403312632,0.004568653786887548,3200,0.26358944177627563,0.9910212382674217,0.2,0.253434419631958,0.0118729845,-0.04861697231020246,0.14047619063939368
200.0,-152.41051187000002,3375,708400,209,322,0.0003,2.8522421233169735,0.004247661546271826,3210,0.02656455710530281,0.9951310195028782,0.2,0.25379279255867004,0.012188601,-0.04720063005174909,0.09519345248384135
200.0,-150.93929588,3385,710600,209,323,0.0003,0.2409435167635924,0.004059952434950641,3220,0.0957331508398056,0.9992295069969259,0.2,0.24961543083190918,0.010659728,-0.039637221268245156,0.14964285719607556
200.0,-150.06688604,3395,712800,209,324,0.0003,3.369392488854272,0.0008132679903480624,3230,0.21954046189785004,0.9788419865071774,0.2,0.2528875768184662,0.010935903,-0.03645590679986136,0.07495535720671927
200.0,-148.78174207000004,3406,715000,209,325,0.0003,2.344580459592066,-0.00019612521066197328,3240,0.09841585159301758,0.9872165955603123,0.2,0.25172290205955505,0.0073128054,-0.04294316019330706,0.12278273813426495
200.0,-146.04652235,3416,717200,209,326,0.0003,4.153121879313673,-0.0010663970087521843,3250,2.223069906234741,0.9866541111841798,0.2,0.24923691153526306,0.008078699,-0.034864848341260635,0.07694940482931478
200.0,-146.23212949999999,3427,719400,209,327,0.0003,4.054725512654653,0.00494610930260803,3260,-0.007622246630489826,0.9917254261672497,0.2,0.24780692160129547,0.022227636,-0.02654310975755964,0.25181547653462205
200.0,-145.51585931,3437,721600,209,328,0.0003,3.1393689795956017,0.008019320062760796,3270,0.32233572006225586,0.997267100494355,0.2,0.2511757016181946,0.030819613,-0.029016206264495848,0.09138392865657806
200.0,-155.12487857,3448,723800,209,329,0.0003,1.393896030996527,0.004757844729881201,3280,0.3500477969646454,0.995449080131948,0.2,0.25266849994659424,0.014437655,-0.03916652372905186,0.14940476199345928
200.0,-147.60473427000002,3458,726000,209,330,0.0003,2.6825398657364503,0.0011626884381153754,3290,0.17018583416938782,0.988174700178206,0.2,0.25255081057548523,0.010015819,-0.042249789578574046,0.13613095256899085
200.0,-149.3800024,3469,728200,209,331,0.0003,0.912348450251988,0.004730702257449073,3300,0.1384958177804947,0.9945518607273698,0.2,0.25179523229599,0.015831344,-0.04069372653961181,0.16825892865657807
200.0,-150.38533357,3479,730400,209,332,0.0003,1.5083943983539938,0.00023837725498846598,3310,0.20715336501598358,0.9937226721085608,0.2,0.256489098072052,0.016787793,-0.04748522758483887,0.15761904772903237
200.0,-154.13867235999996,3490,732600,209,333,0.0003,0.5688604201748967,-0.0012281979314450707,3320,0.1075281947851181,0.9993006461299956,0.2,0.25333061814308167,0.012492619,-0.05209612914494106,0.14877976192959716
200.0,-151.34459768,3500,734800,209,334,0.0003,1.9817308940844875,-0.0021617484092712404,3330,0.7006608247756958,0.9955726973712444,0.2,0.25668203830718994,0.009133562,-0.05126885686601911,0.09702380963734218
200.0,-153.80714906,3510,737000,209,335,0.0003,1.2275128219702414,0.0006023169997414308,3340,0.3613892197608948,0.9971790297422558,0.2,0.2571931481361389,0.009262767,-0.05886890854154314,0.07238095239869186
200.0,-158.60955746,3521,739200,209,336,0.0003,0.7773831165023148,-0.0006508216035685369,3350,0.07792794704437256,0.9957028548233211,0.2,0.26249513030052185,0.017906617,-0.06987276996885027,0.1393898810020515
200.0,-162.28569182,3531,741400,209,337,0.0003,1.4373470531803156,0.00013884130511931808,3360,0.4253639280796051,0.9939152551814914,0.2,0.2641253173351288,0.005836593,-0.08167483193533762,0.10866071433893272
200.0,-157.32860348999998,3541,743600,209,338,0.0003,0.5265894863754511,-0.0012185945428375687,3370,0.07713617384433746,0.9991189777501859,0.2,0.26827532052993774,0.008403021,-0.09611212355749947,0.1702380953303405
200.0,-155.68692986000002,3552,745800,209,339,0.0003,1.1283494689315559,0.0013808480191177556,3380,0.3404073119163513,0.9945504539646208,0.2,0.2662319540977478,0.008767536,-0.10158463750566755,0.12352678579943521
200.0,-160.60974392999998,3562,748000,209,340,0.0003,4.676686986759305,-0.0026558775765235104,3390,0.10964467376470566,0.9766148347407579,0.2,0.2665337324142456,0.03946683,-0.09460658516202654,0.1646279762578862
200.0,-160.67661394999996,3573,750200,209,341,0.0003,1.096209049788969,0.0023760550176458698,3400,0.07257907092571259,0.9941927874460816,0.2,0.27003467082977295,0.010464613,-0.10340434210641043,0.14482142866722175
200.0,-153.46539812,3583,752400,209,342,0.0003,1.2194595224623168,0.0052305853632943974,3410,0.4343685209751129,0.9911003978922963,0.2,0.27065205574035645,0.026944576,-0.11166957071849277,0.12706845248384135
200.0,-152.08031805,3593,754600,209,343,0.0003,1.4110515611405883,-0.0007057846443993704,3420,0.34921884536743164,0.9938510535284877,0.2,0.26846110820770264,0.0070059937,-0.10850687946592058,0.0993750001596553
200.0,-165.69829943000002,3604,756800,209,344,0.0003,0.4299425787239202,0.0031462444005800143,3430,0.18613645434379578,0.9990259896148928,0.2,0.27389228343963623,0.013816406,-0.11198751585824149,0.1384375001596553
200.0,-159.14220953000003,3615,759000,209,345,0.0003,111.05142287049975,0.006453661584195548,3440,14.145560264587402,0.894694522023201,0.2,0.27398720383644104,0.0033903287,-0.12514506442206247,0.044940476215311456
200.0,-159.92057278000001,3625,761200,209,346,0.0003,0.8139416864354696,0.00282242360258741,3450,0.22921904921531677,0.9929113956168294,0.2,0.2728595435619354,0.008142459,-0.12316835573741368,0.12796130972249167
200.0,-159.79736184,3636,763400,209,347,0.0003,56.4781269957338,-0.0024710268527269362,3460,102.870849609375,0.9577802941203117,0.2,0.2722787857055664,0.001785325,-0.11863056693758284,0.054657738166196006
200.0,-158.17859235,3646,765600,209,348,0.0003,6.78904901918556,0.0006259942813111203,3470,3.359222173690796,0.9499905854463577,0.2,0.2690921723842621,0.017334225,-0.11361290080206735,0.12504464294229234
200.0,-165.70918805000002,3656,767800,209,349,0.0003,2.560589529212032,-0.0013944680822481003,3480,0.03322882950305939,0.9597637765109539,0.2,0.26770663261413574,0.02542959,-0.10516524451119559,0.1288839286352907
200.0,-169.60329039,3667,770000,209,350,0.0003,4.2414184616718975,0.0033017770334013872,3490,1.414383888244629,0.9960682899691164,0.2,0.26436275243759155,0.009247381,-0.09614217213221958,0.1640922619828156
200.0,-169.31275541000002,3677,772200,209,351,0.0003,0.7450091404574258,0.005302887664708708,3500,0.413498193025589,0.9982746358728036,0.2,0.26222655177116394,0.018340886,-0.08483620813914708,0.13090773823005813
200.0,-166.81251721999996,3688,774400,209,352,0.0003,1.2522599062855755,0.005897806908137032,3510,0.25961464643478394,0.9879704443737864,0.2,0.25946199893951416,0.014532401,-0.0746594170161656,0.1971875001596553
200.0,-154.46281088,3698,776600,209,353,0.0003,0.4116924990101584,0.006045816087030939,3520,0.031198671087622643,0.9976147587876767,0.2,0.2586290240287781,0.016302465,-0.06737958771841866,0.24998511920017855
