,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",169400,0.034981,200.0,11,-936.447024,-1204.117379,-782.125447,116.25047
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",171600,0.035298,200.0,11,-1014.354628,-1529.592582,-759.324841,218.608334
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",173800,0.036243,200.0,11,-940.413353,-1202.109335,-753.297287,148.601286
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",176000,0.03606,200.0,11,-1077.966933,-1579.694693,-758.261147,247.335674
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",178200,0.03791,200.0,11,-1036.150932,-1487.473845,-744.923687,224.944088
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",180400,0.034988,200.0,11,-985.375171,-1371.703181,-875.871944,144.282712
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",182600,0.034159,200.0,11,-1059.309839,-1518.23807,-749.664071,272.282275
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",184800,0.034592,200.0,11,-1065.531444,-1353.458048,-725.95685,223.266449
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",187000,0.035227,200.0,11,-1012.957028,-1418.316833,-764.046891,178.533328
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",189200,0.036369,200.0,11,-1053.1358,-1534.107872,-798.290825,219.039149
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",191400,0.036829,200.0,11,-960.423484,-1443.963573,-785.846931,174.012047
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",193600,0.034315,200.0,11,-1068.923249,-1499.242448,-823.521378,181.087828
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",195800,0.035189,200.0,11,-1059.976697,-1387.431603,-754.216399,211.568805
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",198000,0.03441,200.0,11,-997.340073,-1530.86748,-755.089522,211.866097
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",200200,0.035745,200.0,11,-999.888963,-1520.446307,-629.362195,263.671428
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",202400,0.038611,200.0,11,-1044.194564,-1460.592647,-842.859018,227.394668
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",204600,0.036357,200.0,11,-1050.162371,-1378.135301,-786.92081,190.955358
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",206800,0.036265,200.0,11,-975.422693,-1190.222332,-750.811773,145.774557
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",209000,0.035569,200.0,11,-1096.169995,-1321.037816,-866.426692,135.3407
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",211200,0.034251,200.0,11,-1093.821376,-1505.323464,-923.527755,197.051125
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",213400,0.036565,200.0,11,-1036.409546,-1309.27637,-852.891233,115.442952
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",215600,0.03611,200.0,11,-1028.951492,-1472.543542,-650.462138,209.319033
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",217800,0.034519,200.0,11,-1038.400194,-1424.731618,-886.219453,141.704932
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",220000,0.033547,200.0,11,-1080.094316,-1257.855782,-974.645054,81.690975
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",222200,0.033699,200.0,11,-988.990679,-1146.669743,-770.504658,107.161081
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",224400,0.033408,200.0,11,-1031.091642,-1270.741096,-920.026598,86.666186
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",226600,0.036987,200.0,11,-1059.157122,-1225.804347,-893.480878,94.197404
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",228800,0.035434,200.0,11,-1103.728271,-1551.561648,-772.874604,194.735747
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",231000,0.034487,200.0,11,-1065.004404,-1237.764529,-911.447976,89.935574
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",233200,0.033975,200.0,11,-1011.895806,-1115.99163,-886.270818,64.027713
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",235400,0.033726,200.0,11,-1071.597765,-1157.9372,-911.526379,66.421522
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",237600,0.034717,200.0,11,-1037.233804,-1235.395011,-769.367382,155.320779
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",239800,0.036742,200.0,11,-1121.444257,-1277.34057,-898.333973,134.777367
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",242000,0.033916,200.0,11,-1060.482472,-1275.962691,-878.378283,134.630233
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",244200,0.034712,200.0,11,-1069.137617,-1183.814442,-948.479657,69.35739
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",246400,0.034354,200.0,11,-1076.115946,-1173.935311,-935.95889,73.32321
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",248600,0.03409,200.0,11,-1086.415247,-1273.011114,-928.177011,93.297699
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",250800,0.035547,200.0,11,-1053.573224,-1326.353895,-903.775814,108.466209
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",253000,0.037046,200.0,11,-1029.659459,-1250.701034,-891.181705,96.845126
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",255200,0.034519,200.0,11,-985.325853,-1105.13176,-827.541796,93.901884
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",257400,0.033884,200.0,11,-981.416072,-1190.782418,-858.932152,106.098529
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",259600,0.033439,200.0,11,-1012.215837,-1221.654094,-736.37278,148.655078
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",261800,0.0338,200.0,11,-992.549236,-1142.855648,-895.814892,81.343317
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",264000,0.036894,200.0,11,-967.717166,-1148.123054,-763.227745,119.853835
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",266200,0.03565,200.0,11,-1075.717873,-1457.983628,-902.753067,180.476347
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",268400,0.033833,200.0,11,-1042.966362,-1195.373386,-729.418057,117.622772
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",270600,0.034083,200.0,11,-1089.459146,-1356.929799,-806.348622,155.835134
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",272800,0.034492,200.0,11,-995.944449,-1153.863603,-757.244879,101.677136
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",275000,0.03481,200.0,11,-1102.529334,-1360.396355,-997.510839,102.744987
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",277200,0.036712,200.0,11,-1100.401393,-1230.020667,-896.870556,103.000416
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",279400,0.035138,200.0,11,-1082.86394,-1220.65408,-900.709303,126.519396
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",281600,0.034792,200.0,11,-1091.460903,-1405.481205,-786.897041,179.025785
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",283800,0.034644,200.0,11,-1094.635445,-1288.514851,-763.427569,152.158011
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",286000,0.035084,200.0,11,-1069.86296,-1266.043805,-906.696009,126.144574
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",288200,0.036494,200.0,11,-1128.934616,-1236.092481,-1045.57209,59.922725
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",290400,0.038022,200.0,11,-1063.097441,-1285.180673,-766.164146,162.410623
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",292600,0.034276,200.0,11,-1165.740894,-1279.987498,-897.209573,105.113646
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",294800,0.034464,200.0,11,-1113.908242,-1326.19742,-898.676038,136.938656
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",297000,0.034779,200.0,11,-1118.329202,-1208.250177,-911.884289,100.933145
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",299200,0.035095,200.0,11,-1107.276926,-1386.594191,-925.706157,128.472958
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",301400,0.037397,200.0,11,-1082.008739,-1214.119928,-987.025057,75.518986
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",303600,0.035582,200.0,11,-1071.60423,-1170.092703,-781.572198,102.22101
